Event,LastSyncPulseTime,ArduinoTime,BonsaiTime
respDelay0.7,98,2879,61053241.3312
respSize5,98,2879,61053241.6
Active,98,2879,61053241.7408
stimON,6213,6443,61056803.1232
dotsMOVE,6213,6944,61057305.9072
respOPEN,6213,7216,61057573.9776
stimOFF,8952,9033,61059386.1632
respCLOSED,11994,12246,61062591.616
stimON,11994,14374,61064716.992
dotsMOVE,14382,14886,61065226.88
respOPEN,14382,15086,61065429.9392
stimOFF,14382,15348,61065685.5296
respCLOSED,20102,20106,61070440.2048
stimON,22016,22284,61072617.7536
dotsMOVE,22016,22806,61073131.264
respOPEN,22016,22987,61073318.9632
respCLOSED,25940,28007,61078331.1488
stimOFF,30596,32274,61082587.1616
respDelay0.7,33675,35064,61085368.7424
respSize5,33675,35064,61085368.7808
Active,33675,35064,61085368.8064
stimON,33675,35104,61085413.6704
dotsMOVE,33675,35627,61085930.5472
respOPEN,33675,35808,61086117.2224
